tanggal,status,so2,co,keterangan
2013-07-01,baik,30,31,1
2013-07-02,baik,28,43,1
2013-07-03,buruk,16,43,0
2013-07-04,baik,29,51,1
2013-07-05,baik,40,49,1
2013-07-06,buruk,22,46,0
2013-07-07,buruk,19,58,0
2013-07-08,baik,36,98,1
2013-07-09,buruk,20,36,0
2013-07-10,buruk,14,37,0
2013-07-11,baik,19,45,1
2013-07-12,buruk,28,45,0
2013-07-13,baik,27,39,1
2013-07-14,baik,13,32,1
2013-07-15,baik,27,48,1
2013-07-16,baik,31,43,1
2013-07-17,buruk,20,50,0
2013-07-18,baik,19,45,1
2013-07-19,baik,23,41,1
2013-07-20,baik,19,39,1
2013-07-21,buruk,25,56,0
2013-07-22,buruk,21,40,0
2013-07-23,buruk,23,81,0
2013-07-24,baik,30,46,1
2013-07-25,baik,24,44,1
2013-07-26,baik,19,25,1
2013-07-27,baik,27,30,1
2013-07-28,baik,23,58,1
2013-07-29,baik,23,35,1
2013-07-30,baik,37,35,1
2013-07-31,baik,18,32,1
